Stock Number,Model Number,Additional Descriptions
1224985,BH-0M-002,"You will not find a better quality bossing mallet in the industry.  Handmade right here in the USA the mallet heads are constructed of select grade hardwood laminate. Each veneer is graded to eliminate defects and dyed under high pressure to give it color uniformity. They are then coated with high-strength, virtually waterproof industrial glue resin. The beautiful colors are created by alternating colored layers and bonding them together under intense heat and pressure. This extensive process produces a laminate blank long known for exceptional strength, stability and unconditional use in any environment.
And just to top it off, the handle is made of quality American walnut. 
Call 920-684-4990 for more information today!"
1224986,BH-0M-003,"You will not find a better quality planishing mallet in the industry.  Handmade right here in the USA the mallet heads are constructed of select grade hardwood laminate. Each veneer is graded to eliminate defects and dyed under high pressure to give it color uniformity. They are then coated with high-strength, virtually waterproof industrial glue resin. The beautiful colors are created by alternating colored layers and bonding them together under intense heat and pressure. This extensive process produces a laminate blank long known for exceptional strength, stability and unconditional use in any environment.
And just to top it off, the handle is made of quality American walnut. 
Call 920-684-4990 for more information today!"
1224987,BH-0M-004,"You will not find a better quality shrink/stretch mallet in the industry.  Handmade right here in the USA the mallet heads are constructed of select grade hardwood laminate. Each veneer is graded to eliminate defects and dyed under high pressure to give it color uniformity. They are then coated with high-strength, virtually waterproof industrial glue resin. The beautiful colors are created by alternating colored layers and bonding them together under intense heat and pressure. This extensive process produces a laminate blank long known for exceptional strength, stability and unconditional use in any environment.
And just to top it off, the handle is made of quality American walnut. 
Call 920-684-4990 for more information today!"
1000900,"BR18E - 3/4"" ROUND BEAD","3/4"" Steel Round Bead Roll Set for BR-18E.  Will work with BR-18E-24/36 and BR-18M-24 bead rollers."
1000905,"BR18E - 3/8"" ROUND BEAD-NYLON","3/8"" Nylon Round Bead Roll Set for BR-18E.  Will work with BR-18E-24/36 and BR-18M-24 bead rollers.  Perfect for those easily marred surfaces!"
1021387,,
1225427,,
1225428,,
1225429,,
1226018,HSP-BP24,"Baileigh's line of shop presses are some of the best on the market, but sometimes you have a need to do more.  That is where our HSP-BP24 24"" press brake attachment comes in.   This impressive press brake has an impressive list of features.

*Made from machined steel
*Hardened punch and die
*Heavy duty return springs
*3/4"" wide punch with 0.01"" radi
*3/4"", 1"", 1-1/2"", 2"" Vee openings
*Avialable in 12"" and 24"" widths

Questions? Give us a call and talk to a Baileigh expert: (920) 684-4990."
1004947,IRG-3600,"Baileigh Industrial is proud to introduce our Universal Ring Roller and Plate Roll Radius Gauges with Variable Arc.
With this inside radius gauge, it's possible to measure the curvature of an arc quickly, easily and accurately. Instantly measure anything from hand-railing to doorway arches, or anything that is curved. 
These inside radius gauges are the perfect complement to your new piece of Baileigh Industrial machinery.  With the help of this radius measurement tool, it is easy to replicate curves between 6"" and 144"" made on machines such as Ring Rollers and Plate Rolls.
Included with each radius gauge that Baileigh Industrial sells is the variable arc attachment.  Used  together with either the inside radius gauge or the outside radius gauge,  the variable arc will allow the user to transfer any arc to another medium easily by tracing along the variable-arc.

Call us at 1-920-684-4990 with any questions you have about this inside radius gauge tool."
1005905,ORG-3600,"Baileigh Industrial is proud to introduce our Universal Ring Roller and Plate Roll Radius Gauges with Variable Arc.
It is now possible to measure the curvature of an arc quickly, easily and accurately. With this large outside radius gauge, you can instantly measure anything from hand-railing to doorway arches, or anything that is curved.
These outside radius gauges are the perfect complement to your new piece of Baileigh Industrial machinery.  With its help it is easy to replicate curves with radii between 6"" and 144"" made on machines such as Ring Rollers and Plate Rolls.
Included with each outside radius gauge that Baileigh Industrial sells is the variable arc attachment.  Used  together with either the inside radius gauge or the outside radius gauge,  the variable arc will allow the user to transfer any arc to another medium easily by tracing along the variable-arc.

Call us at 1-920-684-4990 with any questions you have about this large radius gauge from Baileigh Industrial."
1006828,RG-750,"Baileigh Industrial is proud to introduce our Universal Ring Roller and Plate Roll Radius Gauge set specifically designed for small radii.  Each set includes an inside and outside gauge.
It is now possible to measure the curvature of an arc quickly, easily and accurately. Instantly measure anything from hand-railing to doorway arches, or anything that is curved.
These radius gauges are the perfect complement to your new piece of Baileigh Industrial machinery.  With its help it is easy to replicate curves with radii between 2.5"" and 30"" made on machines such as Ring Rollers and Plate Rolls."
1000210,AF-360D,"Angle Finders instantly improve accuracy of finished  products
  The AF-360D magnetic angle finder is a must for any fabricator  who is working with hand railing, auto chassis, etc., anything that requires an  accurate rotation of the previous bend completed, before performing the next  bend. A tube or pipe bender that has a positioning table is complimented with  the attachment of an AF-360D angle finder.  Attach the AF-360D to  the following end of tube or pipe before bending, complete a bend and rotate  material accurately to desired degree and before next bend. 

  *Digital indicator accurately detects where plane of bend is within total 360 ° rotation in 90° increments.
  *Ensures that pipe or tube stays on a level plane.
  *Immediate payback due to material savings when tube bending.
  *This pipe angle finder is perfect for all applications that require more than one bend in material.

Questions? Call us at 1-920-684-4990 with any questions you have about our angle gauges.

Order this angle finder for sale today!"
1000211,AF-360D-HOLDER,The AF-360D-Holder makes tube measuring angles while tube bending easier when used in conjunction with the AF-360D digital angel finder.  This solid billet holder will clamp on tube from ¾” up to 3-1/2” outside diameter and holds the AF-360D securely in place for the greatest accuracy available.
1000266,AR-360D,"The AR-360 digital angle ruler is a versatile instrument that will be valuable in any shop. This AR-360 digital angle ruler is not only a ruler but also doubles as a digital protractor. The digital readout also “flips” when turned upside down for easy reading.
Contact a Baileigh Industrial representative for more information.

*Stainless steel rule blades with mm, 1/64”, 1/32” and 1/64” scales
*Strong/firm lock
*Hold function
*Reversible reading
*Inside & Outside angle measure
*Easy to use & easy to carry
*Light weight




Measure  range
0-360°


Resolution
0.05°


Accuracy
±0.2°


Repeatability
0.05°


Battery
3V  CR2032 included"
